data_inicio,nome,id_chamado
02/02,Vila da Penha,42
02/02,Vista Alegre,9
02/02,Zumbi,2
02/02,Água Santa,2
02/03,Abolição,8
02/03,Acari,1
02/03,Alto da Boa Vista,8
02/03,Anchieta,10
02/03,Andaraí,31
02/03,Anil,17
02/03,Bancários,5
02/03,Bangu,94
02/03,Barra da Tijuca,108
02/03,Benfica,11
02/03,Bento Ribeiro,45
02/03,Bonsucesso,25
02/03,Botafogo,75
02/03,Brás de Pina,25
02/03,Cachambi,28
02/03,Cacuia,5
02/03,Caju,4
02/03,Camorim,4
02/03,Campinho,3
02/03,Campo Grande,263
02/03,Cascadura,15
02/03,Catete,7
02/03,Catumbi,4
02/03,Cavalcanti,4
02/03,Centro,99
02/03,Cidade Nova,6
02/03,Cidade Universitária,1
02/03,Cidade de Deus,5
02/03,Cocotá,5
02/03,Coelho Neto,11
02/03,Colégio,14
02/03,Complexo do Alemão,2
02/03,Copacabana,78
02/03,Cordovil,12
02/03,Cosme Velho,12
02/03,Cosmos,28
02/03,Costa Barros,7
02/03,Curicica,22
02/03,Del Castilho,11
02/03,Deodoro,6
02/03,Encantado,17
02/03,Engenho Novo,34
02/03,Engenho da Rainha,6
02/03,Engenho de Dentro,57
02/03,Estácio,8
02/03,Flamengo,23
02/03,Freguesia (Ilha),7
02/03,Freguesia (Jacarepaguá),32
02/03,Galeão,5
02/03,Gardênia Azul,6
02/03,Glória,13
02/03,Grajaú,26
02/03,Guadalupe,19
02/03,Guaratiba,65
02/03,Gávea,17
02/03,Higienópolis,18
02/03,Honório Gurgel,15
02/03,Humaitá,32
02/03,Ilha de Guaratiba,7
02/03,Inhaúma,20
02/03,Inhoaíba,26
02/03,Ipanema,26
02/03,Irajá,45
02/03,Itanhangá,4
02/03,Jacarepaguá,35
02/03,Jacarezinho,3
02/03,Jacaré,7
02/03,Jardim América,13
02/03,Jardim Botânico,24
02/03,Jardim Carioca,7
02/03,Jardim Guanabara,27
02/03,Jardim Sulacap,16
02/03,Joá,3
02/03,Lagoa,12
02/03,Lapa,4
02/03,Laranjeiras,43
02/03,Leblon,20
02/03,Leme,4
02/03,Lins de Vasconcelos,16
02/03,Madureira,34
02/03,Magalhães Bastos,8
02/03,Mangueira,4
02/03,Manguinhos,3
02/03,Maracanã,31
